CPU_utilization,RAM_utilization,elapsed_time
5.6,16.3,0.029229294996184763
1.6,16.3,0.0347599029992125
2.1,16.3,0.025222702002793085
2.4,16.3,0.025598980995710008
1.9,16.3,0.024505143002897967
1.8,16.3,0.02422577000106685
2.1,16.3,0.022159261992783286
1.7,16.4,0.02329025900689885
2.0,16.4,0.02375616600329522
2.4,16.3,0.02673525700083701
2.2,16.3,0.05681090400321409
2.1,16.3,0.02649564699822804
2.1,16.3,0.025913643999956548
2.2,16.3,0.025697617995319888
1.9,16.3,0.02810832099930849
2.5,16.3,0.025096226003370248
2.2,16.3,0.024088983998808544
2.2,16.3,0.024537295001209714
2.4,16.3,0.02480913800536655
2.1,16.3,0.023495697998441756
1.8,16.3,0.02510566500131972
2.3,16.3,0.022340266004903242
2.2,16.3,0.02737246800097637
2.3,16.3,0.02282958799332846
2.5,16.3,0.02261356000235537
2.5,16.3,0.024940744995546993
2.2,16.3,0.024120715002936777
2.3,16.3,0.022881584998685867
2.3,16.3,0.023970852002094034
2.3,16.3,0.02362953100237064
2.3,16.3,0.02398773499589879
