CPU_utilization,RAM_utilization,elapsed_time
8.8,16.0,0.7819930169935105
4.0,16.2,0.7250158850001753
4.0,16.3,0.7247012270017876
3.9,16.3,0.7372391449971474
3.9,16.3,0.730315803004487
3.5,16.2,0.73017156500282
3.5,16.2,0.7335058390017366
3.4,16.2,0.70849371899385
3.8,16.2,0.7049441429990111
3.5,16.2,0.7074853169979178
3.5,16.3,0.6977349259977927
3.5,16.3,0.6969146650008042
3.2,16.3,0.707658169005299
3.2,16.3,0.7126764620043105
3.6,16.3,0.7240525660017738
3.5,16.3,0.7131558880064404
3.7,16.3,0.7175716869969619
3.6,16.3,0.7136653609995847
3.9,16.3,0.752118292999512
4.1,16.3,0.7338864170014858
3.4,16.3,0.7364104869993753
3.4,16.3,0.7289901310068672
2.9,16.3,0.7337108830033685
3.2,16.3,0.7420836069941288
3.1,16.3,0.727829503994144
3.0,16.3,0.7352076859970111
3.1,16.3,0.7343989979999606
3.2,16.3,0.7218401119971531
3.3,16.3,0.7342608110047877
2.9,16.3,0.7224258479982382
3.2,16.3,0.730797000003804
