CPU_utilization,RAM_utilization,elapsed_time
20.0,15.3,0.000894641998456791
2.3,15.3,0.0010184040002059191
2.1,15.3,0.0010886069940170273
2.9,15.4,0.001018134003970772
1.8,15.4,0.0010029460026999004
2.0,15.4,0.0008969459959189408
1.6,15.4,0.000833637997857295
1.9,15.4,0.0008940000043367036
2.1,15.4,0.000940286998229567
1.9,15.4,0.0009247480047633871
2.1,15.3,0.0010187150037381798
1.8,15.3,0.0008111339993774891
1.9,15.3,0.0008726209998712875
2.1,15.3,0.0009009939967654645
2.5,15.3,0.0008155430041369982
2.3,15.4,0.0010108499991474673
1.9,15.4,0.0009378929971717298
2.0,15.4,0.0009030380024341866
1.9,15.4,0.001008416002150625
2.1,15.4,0.0010017730019171722
1.9,15.4,0.0010021540001616813
2.1,15.4,0.0010161700047319755
1.8,15.4,0.0010116120029124431
1.7,15.4,0.001008886996714864
1.8,15.4,0.0010133649993804283
1.8,15.4,0.0014387340052053332
1.7,15.4,0.0008341579959960654
1.9,15.4,0.0010080950014526024
1.8,15.4,0.0011110380000900477
1.8,15.4,0.0009366500016767532
2.0,15.4,0.0009360089970869012
