CPU_utilization,RAM_utilization,elapsed_time
10.0,11.4,0.0033779269997467054
0.2,11.4,0.003609536999647389
0.1,11.3,0.0035588119999374612
0.1,11.3,0.00358776599932753
0.1,11.4,0.0035544030006349203
0.1,11.3,0.0035534110002117814
0.1,11.3,0.0034249079999426613
0.1,11.4,0.003565374000572774
0.1,11.4,0.0035490230002324097
0.1,11.4,0.0035361400005058385
0.1,11.4,0.0036921249993611127
0.1,11.4,0.0035607760000857525
0.1,11.3,0.003542241999639373
0.2,11.3,0.003690993999953207
0.1,11.3,0.0035458689999359194
0.1,11.3,0.003580314999453549
0.1,11.3,0.003565015999811294
0.1,11.3,0.0035520319997885963
0.1,11.3,0.003537153999786824
0.7,11.4,0.0035780910002358723
0.3,11.4,0.0036683919997813064
0.1,11.4,0.0035448680000627064
0.2,11.4,0.0035715799995159614
0.3,11.4,0.00370552399999724
0.3,11.4,0.003556702000423684
0.1,11.4,0.003551382000296144
0.1,11.4,0.0037064059997646837
0.1,11.4,0.0036209740001140744
0.1,11.4,0.003607439000006707
0.2,11.4,0.003684154000438866
