CPU_utilization,RAM_utilization,elapsed_time
28.6,11.5,0.000979137999820523
0.7,11.5,0.0015581759998894995
0.2,11.5,0.0011819219998869812
0.1,11.5,0.0011791070000981563
0.1,11.5,0.0011626559999058372
0.1,11.4,0.0011605010004132055
0.1,11.4,0.0011687579999488662
0.1,11.4,0.0011643289999483386
0.1,11.4,0.0011530080000738963
0.1,11.4,0.0014881639999657637
0.1,11.4,0.001495427000008931
0.1,11.4,0.00148372500007099
0.1,11.4,0.0011534999994182726
0.1,11.4,0.0014937640007701702
0.1,11.4,0.001478424999731942
0.1,11.4,0.001496980999945663
0.1,11.4,0.001154350999968301
0.1,11.4,0.0011668449997159769
0.1,11.4,0.0011576169999898411
0.1,11.4,0.001487794000240683
0.2,11.4,0.0014754900003026705
0.3,11.4,0.0014883949997965829
0.1,11.4,0.0014766129997951793
0.1,11.4,0.0011793780004154542
0.1,11.4,0.0011741990001610247
0.1,11.4,0.0011678270002448699
0.1,11.4,0.001487823999923421
0.1,11.4,0.0011504439999043825
0.2,11.4,0.0014887259994793567
0.0,11.4,0.0014684769994346425
