CPU_utilization,RAM_utilization,elapsed_time
5.7,17.2,0.16265527400537394
1.6,17.2,0.0014403399982256815
1.7,17.2,0.00144786400051089
1.6,17.2,0.0013904769948567264
1.6,17.2,0.0013783139947918244
1.6,17.2,0.0013965980033390224
1.4,17.2,0.0014190299989422783
1.6,17.2,0.0013822399996570311
1.7,17.2,0.00136894599563675
1.5,17.2,0.0016846600046847016
1.7,17.2,0.0014532440036418848
1.7,17.2,0.001407377996656578
1.8,17.2,0.001350179998553358
1.7,17.2,0.0017354259980493225
1.7,17.2,0.001439177998690866
1.8,17.2,0.0013700679992325604
1.7,17.2,0.0013563419997808523
1.7,17.2,0.0017450830055167899
1.8,17.2,0.0014357609979924746
1.8,17.2,0.0013767810014542192
1.7,17.2,0.0013874610012862831
1.6,17.2,0.0014421939995372668
1.7,17.2,0.0013472450009430759
1.9,17.0,0.0013537579943658784
1.9,17.0,0.0013982809978188016
1.6,17.0,0.0017950080000446178
1.6,17.0,0.0013912180002080277
1.8,17.0,0.0013430679973680526
1.8,17.0,0.0013917280011810362
1.7,17.0,0.0017776339955162257
1.6,17.0,0.0014418529972317629
