CPU_utilization,RAM_utilization,elapsed_time
6.3,16.3,0.1386373060013284
1.8,16.3,0.12949123900034465
1.8,16.3,0.13018835199909518
1.8,16.3,0.13142595100362087
1.5,16.3,0.13082441100414144
1.8,16.3,0.1318241510016378
1.7,16.3,0.1357612190040527
1.7,16.3,0.13277888900483958
1.8,16.3,0.13134944000194082
1.7,16.3,0.1296648819989059
1.7,16.3,0.1290688009976293
1.6,16.3,0.12981079900055192
1.6,16.3,0.13281065200135345
1.6,16.3,0.1320215290033957
1.6,16.3,0.13260127900139196
1.8,16.3,0.13240218500141054
1.6,16.3,0.13168802300060634
1.7,16.3,0.13212887199915713
1.7,16.3,0.13200595299713314
1.7,16.3,0.13152935600373894
1.8,16.3,0.12995953199424548
1.6,16.3,0.13121080699784216
1.7,16.3,0.13072281100176042
1.6,16.3,0.13084969999908935
1.8,16.3,0.13160047300334554
1.9,16.3,0.13097895400278503
1.7,16.3,0.1322914039992611
1.7,16.3,0.13147797400597483
1.7,16.3,0.15041634600493126
1.9,16.3,0.13013942699762993
1.9,16.3,0.13206650299980538
