CPU_utilization,RAM_utilization,elapsed_time
6.3,16.3,0.00042656200093915686
1.7,16.3,0.0012626230018213391
1.6,16.3,0.0006227110061445273
1.7,16.3,0.0006378890029736795
1.6,16.3,0.0009213319935952313
1.7,16.3,0.0007184299975051545
2.0,16.3,0.0006390210037352517
1.6,16.3,0.0007054970046738163
1.6,16.3,0.0005333529989002272
1.3,16.3,0.0006845969983260147
1.7,16.3,0.0006272290047490969
1.7,16.3,0.0006300150052993558
1.8,16.3,0.0006977020020713098
2.0,16.3,0.0006362659987644292
2.7,16.3,0.0006266479977057315
2.1,16.3,0.000566844995773863
1.7,16.3,0.0006442110025091097
1.8,16.3,0.0006465750047937036
1.9,16.3,0.0005551430003833957
1.8,16.3,0.0006502830001409166
1.5,16.3,0.0007016689996817149
1.5,16.3,0.0006327590017463081
1.6,16.3,0.0008562599978176877
1.4,16.3,0.0005901789991185069
2.1,16.3,0.000702761004504282
2.0,16.3,0.0007022800054983236
1.8,16.3,0.0006264580006245524
2.0,16.3,0.0008447889995295554
2.3,16.3,0.0006308250012807548
2.1,16.3,0.0006439309945562854
1.6,16.3,0.000633561001450289
