CPU_utilization,RAM_utilization,elapsed_time
6.1,16.1,0.27083856599892897
0.3,16.1,0.26155382199976884
0.3,16.1,0.25946584699886444
0.3,16.1,0.25862862600115477
0.3,16.1,0.25957218400071724
0.3,16.1,0.25922241599982954
0.4,16.1,0.2580889649998426
0.4,16.1,0.2890758499997901
0.4,16.1,0.25773938100064697
0.3,16.1,0.25706485400041856
0.3,16.1,0.25848865599982673
0.3,16.1,0.2595216800000344
0.4,16.1,0.25896689199907996
0.3,16.1,0.25981039900034375
0.3,16.1,0.2601224310001271
0.4,16.1,0.26176540099913836
0.3,16.1,0.28902324700175086
0.3,16.1,0.26270183700034977
0.3,16.1,0.2623613520008803
0.3,16.1,0.2616893930007791
0.3,16.1,0.2611442919987894
0.3,16.1,0.2629203519991279
0.3,16.1,0.26182781199895544
0.4,16.1,0.2631858860004286
0.4,16.1,0.291906652999387
0.3,16.1,0.2662286539998604
0.3,16.1,0.26370849900013127
0.3,16.1,0.26454820800063317
0.4,16.1,0.2549137719997816
0.4,16.1,0.2566507299998193
