CPU_utilization,RAM_utilization,elapsed_time
6.3,15.4,0.03341006000118796
3.1,15.4,0.0034148889972129837
1.8,15.4,0.00321965100010857
1.7,15.4,0.0032600069971522316
2.2,15.4,0.0032142120035132393
2.0,15.4,0.003790062000916805
2.0,15.4,0.0033958619969780557
2.2,15.3,0.003391013997315895
2.3,15.3,0.0033172250041388907
1.9,15.3,0.003260787998442538
1.7,15.3,0.003219520003767684
2.2,15.3,0.0032408300030510873
2.3,15.3,0.003306454003904946
2.6,15.3,0.003688893004436977
2.6,15.3,0.0032965659993351437
2.7,15.3,0.0032422839940409176
2.3,15.3,0.0032125570069183595
2.3,15.3,0.0033051209975383244
2.4,15.3,0.0032076880015665665
2.4,15.3,0.0032094830021378584
2.1,15.3,0.0033534940012032166
2.1,15.3,0.0033925969983101822
2.2,15.3,0.0035174919976270758
2.2,15.3,0.0036514530002023093
2.2,15.3,0.0032570320036029443
2.0,15.3,0.0035789269968518056
2.1,15.3,0.003327334998175502
2.2,15.3,0.003416512001422234
2.2,15.3,0.0032969980020425282
2.4,15.3,0.0038417920004576445
2.4,15.3,0.003324008001072798
