Order	Line	Ordered Item	Qty	Status	UOM	Unit Selling Price	Price List	Line Type	Qty Cancelled	Qty Fulfilled	List Price	Extended Price	Request Date	Warehouse	Ship To Location
445288	1.1	023410P6	8	Picked	EA	13.48	Hurst Price List	Paint Line	0		13.48	107.84	12/5/2019 0:00	DC1	817
445288	2.1	024210P10	5	Picked	EA	44.81	Hurst Price List	Paint Line	0		44.81	224.05	12/5/2019 0:00	DC1	817
445288	3.1	023610P2	9	Picked	EA	71.06	Hurst Price List	Paint Line	0		71.06	639.54	12/5/2019 0:00	DC1	817
445288	4.1	024007P0	6	Picked	EA	61.62	Hurst Price List	Paint Line	0		61.62	369.72	12/5/2019 0:00	DC1	817
445287	1.1	023405P0	20	Closed	EA	11.64	Hurst Price List	Paint Line	0	20	11.64	232.8	12/5/2019 0:00	DC1	1118
445287	2.1	024403P4	16	Closed	EA	15.54	Hurst Price List	Paint Line	0	16	15.54	248.64	12/5/2019 0:00	DC1	1118
445287	3.1	024404P8	12	Closed	EA	15.01	Hurst Price List	Paint Line	0	12	15.01	180.12	12/5/2019 0:00	DC1	1118
445287	4.1	024405P0	12	Closed	EA	12.62	Hurst Price List	Paint Line	0	12	12.62	151.44	12/5/2019 0:00	DC1	1118
445287	5.1	023407P10	20	Closed	EA	12.66	Hurst Price List	Paint Line	0	20	12.66	253.2	12/5/2019 0:00	DC1	1118
445287	6.1	023610P6	24	Closed	EA	14.78	Hurst Price List	Paint Line	0	24	14.78	354.72	12/5/2019 0:00	DC1	1118
445287	7.1	024001P4	12	Closed	EA	11.37	Hurst Price List	Paint Line	0	12	11.37	136.44	12/5/2019 0:00	DC1	1118
445287	8.1	023401P4	16	Closed	EA	10.5	Hurst Price List	Paint Line	0	16	10.5	168	12/5/2019 0:00	DC1	1118
445287	9.1	023408P0	8	Closed	EA	57.57	Hurst Price List	Paint Line	0	8	57.57	460.56	12/5/2019 0:00	DC1	1118
445287	10.1	024602P2	4	Closed	EA	80.71	Hurst Price List	Paint Line	0	4	80.71	322.84	12/5/2019 0:00	DC1	1118
445287	11.1	024004P2	16	Closed	EA	50.35	Hurst Price List	Paint Line	0	16	50.35	805.6	12/5/2019 0:00	DC1	1118
445287	12.1	023406P6	8	Closed	EA	12.91	Hurst Price List	Paint Line	0	8	12.91	103.28	12/5/2019 0:00	DC1	1118
445287	13.1	024210P10	16	Closed	EA	44.81	Hurst Price List	Paint Line	0	16	44.81	716.96	12/5/2019 0:00	DC1	1118
445287	14.1	024407P8	8	Closed	EA	50.76	Hurst Price List	Paint Line	0	8	50.76	406.08	12/5/2019 0:00	DC1	1118
445287	15.1	024407P10	12	Closed	EA	53.92	Hurst Price List	Paint Line	0	12	53.92	647.04	12/5/2019 0:00	DC1	1118
445287	16.1	023408P10	8	Closed	EA	10.71	Hurst Price List	Paint Line	0	8	10.71	85.68	12/5/2019 0:00	DC1	1118
445287	17.1	023408P2	4	Closed	EA	11.64	Hurst Price List	Paint Line	0	4	11.64	46.56	12/5/2019 0:00	DC1	1118
445287	18.1	024005P0	18	Closed	EA	2.62	Hurst Price List	Paint Line	0	18	2.62	47.16	12/5/2019 0:00	DC1	1118
445287	19.1	024005P10	18	Closed	EA	3.03	Hurst Price List	Paint Line	0	18	3.03	54.54	12/5/2019 0:00	DC1	1118
445287	20.1	023803P8	18	Closed	EA	4.28	Hurst Price List	Paint Line	0	18	4.28	77.04	12/5/2019 0:00	DC1	1118
445287	21.1	023410P6	24	Closed	EA	13.48	Hurst Price List	Paint Line	0	24	13.48	323.52	12/5/2019 0:00	DC1	1118
445287	22.1	024410P2	18	Closed	EA	3.78	Hurst Price List	Paint Line	0	18	3.78	68.04	12/5/2019 0:00	DC1	1118
445287	23.1	024410P6	9	Closed	EA	3.61	Hurst Price List	Paint Line	0	9	3.61	32.49	12/5/2019 0:00	DC1	1118
445287	24.1	024410P10	9	Closed	EA	3.14	Hurst Price List	Paint Line	0	9	3.14	28.26	12/5/2019 0:00	DC1	1118
445287	25.1	024602P00	18	Closed	EA	2.95	Hurst Price List	Paint Line	0	18	2.95	53.1	12/5/2019 0:00	DC1	1118
445287	26.1	024607P00	9	Closed	EA	4.43	Hurst Price List	Paint Line	0	9	4.43	39.87	12/5/2019 0:00	DC1	1118
445287	27.1	#N/A	6	Closed	EA	30.46	Hurst Price List	Sundry Line	0	6	30.46	182.76	12/5/2019 0:00	DC1	1118
445287	28.1	024203P4	18	Closed	EA	2.95	Hurst Price List	Paint Line	0	18	2.95	53.1	12/5/2019 0:00	DC1	1118
