Order	Line	Ordered Item	Qty	Status	UOM	Unit Selling Price	Price List	Line Type	Qty Cancelled	Qty Fulfilled	List Price	Extended Price	Request Date	Warehouse	Ship To Location
444818	1.1	023404P4	4	Closed	EA	12.08	Hurst Price List	Paint Line	0	4	12.08	48.32	11/24/2019 0:00	701	1404
444818	2.1	024204P0	4	Closed	EA	9.65	Hurst Price List	Paint Line	0	4	9.65	38.6	11/24/2019 0:00	701	1404
444818	3.1	023409P6	4	Closed	EA	11.22	Hurst Price List	Paint Line	0	4	11.22	44.88	11/24/2019 0:00	701	1404
444818	4.1	024010P10	8	Closed	EA	11.15	Hurst Price List	Paint Line	0	8	11.15	89.2	11/24/2019 0:00	701	1404
444818	5.1	024201P6	8	Closed	EA	11.43	Hurst Price List	Paint Line	0	8	11.43	91.44	11/24/2019 0:00	701	1404
444818	6.1	024009P4	6	Closed	EA	3.87	Hurst Price List	Paint Line	0	6	3.87	23.22	11/24/2019 0:00	701	1404
444818	7.1	024009P6	9	Closed	EA	3.74	Hurst Price List	Paint Line	0	9	3.74	33.66	11/24/2019 0:00	701	1404
444818	8.1	024009P8	9	Closed	EA	3.16	Hurst Price List	Paint Line	0	9	3.16	28.44	11/24/2019 0:00	701	1404
444818	9.1	024202P10	3	Closed	EA	3.78	Hurst Price List	Paint Line	0	3	3.78	11.34	11/24/2019 0:00	701	1404
444818	10.1	023803P8	6	Closed	EA	4.28	Hurst Price List	Paint Line	0	6	4.28	25.68	11/24/2019 0:00	701	1404
444818	11.1	024008P0	3	Closed	EA	3.96	Hurst Price List	Paint Line	0	3	3.96	11.88	11/24/2019 0:00	701	1404
444818	12.1	024210P8	4	Closed	EA	10.19	Hurst Price List	Paint Line	0	4	10.19	40.76	11/24/2019 0:00	701	1404
444818	13.1	024201P8	9	Closed	EA	51.44	Hurst Price List	Paint Line	0	9	51.44	462.96	11/24/2019 0:00	701	1404
444818	14.1	024205P6	6	Closed	EA	41.27	Hurst Price List	Paint Line	0	6	41.27	247.62	11/24/2019 0:00	701	1404
444818	15.1	#N/A	9	Closed	EA	114.27	Hurst Price List	Sundry Line	0	9	114.27	1,028.43	11/24/2019 0:00	701	1404
444818	16.1	023408P4	3	Closed	EA	52.47	Hurst Price List	Paint Line	0	3	52.47	157.41	11/24/2019 0:00	701	1404
444818	17.1	023408P8	3	Closed	EA	43.04	Hurst Price List	Paint Line	0	3	43.04	129.12	11/24/2019 0:00	701	1404
444818	18.1	023403P10	3	Closed	EA	59.57	Hurst Price List	Paint Line	0	3	59.57	178.71	11/24/2019 0:00	701	1404
444818	19.1	024602P2	3	Closed	EA	80.71	Hurst Price List	Paint Line	0	3	80.71	242.13	11/24/2019 0:00	701	1404
444818	20.1	#N/A	6	Closed	EA	7.19	Hurst Price List	Sundry Line	0	6	7.19	43.14	11/24/2019 0:00	701	1404
444818	21.1	#N/A	6	Closed	EA	5.68	Hurst Price List	Sundry Line	0	6	5.68	34.08	11/24/2019 0:00	701	1404
444818	22.1	#N/A	6	Closed	EA	11.29	Hurst Price List	Sundry Line	0	6	11.29	67.74	11/24/2019 0:00	701	1404
444818	23.1	023407P10	16	Closed	EA	12.66	Hurst Price List	Paint Line	0	16	12.66	202.56	11/24/2019 0:00	701	1404
444818	24.1	#N/A	4	Closed	EA	13.72	Hurst Price List	Sundry Line	0	4	13.72	54.88	11/24/2019 0:00	701	1404
