Order	Line	Ordered Item	Qty	Status	UOM	Unit Selling Price	Price List	Line Type	Qty Cancelled	Qty Fulfilled	List Price	Extended Price	Request Date	Warehouse	Ship To Location
444009	1.1	#N/A	4	Picked	EA	10.94	Hurst Price List	Sundry Line	0		10.94	43.76	11/9/2019 0:00	DC1	231
444009	2.1	#N/A	4	Picked	EA	20.48	Hurst Price List	Sundry Line	0		20.48	81.92	11/9/2019 0:00	DC1	231
444009	3.1	023806P8	4	Picked	EA	15.17	Hurst Price List	Paint Line	0		15.17	60.68	11/9/2019 0:00	DC1	231
444009	4.1	023804P0	4	Picked	EA	14.37	Hurst Price List	Paint Line	0		14.37	57.48	11/9/2019 0:00	DC1	231
444009	5.1	024009P4	9	Picked	EA	3.87	Hurst Price List	Paint Line	0		3.87	34.83	11/9/2019 0:00	DC1	231
444009	6.1	024607P0	4	Picked	EA	14.63	Hurst Price List	Paint Line	0		14.63	58.52	11/9/2019 0:00	DC1	231
444009	7.1	023803P8	9	Picked	EA	4.28	Hurst Price List	Paint Line	0		4.28	38.52	11/9/2019 0:00	DC1	231
444009	8.1	024407P0	8	Picked	EA	12.97	Hurst Price List	Paint Line	0		12.97	103.76	11/9/2019 0:00	DC1	231
444009	9.1	024601P4	8	Picked	EA	17.2	Hurst Price List	Paint Line	0		17.2	137.6	11/9/2019 0:00	DC1	231
444009	10.1	023408P2	4	Picked	EA	11.64	Hurst Price List	Paint Line	0		11.64	46.56	11/9/2019 0:00	DC1	231
444009	11.1	023610P0	8	Picked	EA	15.37	Hurst Price List	Paint Line	0		15.37	122.96	11/9/2019 0:00	DC1	231
444009	12.1	023603P10	4	Picked	EA	9.39	Hurst Price List	Paint Line	0		9.39	37.56	11/9/2019 0:00	DC1	231
444009	13.1	024405P4	4	Picked	EA	12.17	Hurst Price List	Paint Line	0		12.17	48.68	11/9/2019 0:00	DC1	231
444009	14.1	024410P8	2	Picked	EA	55.7	Hurst Price List	Paint Line	0		55.7	111.4	11/9/2019 0:00	DC1	231
444009	15.1	024407P4	3	Picked	EA	46.18	Hurst Price List	Paint Line	0		46.18	138.54	11/9/2019 0:00	DC1	231
444009	16.1	024608P10	4	Picked	EA	15.45	Hurst Price List	Paint Line	0		15.45	61.8	11/9/2019 0:00	DC1	231
443985	1.1	023403P10	9	Closed	EA	59.57	Hurst Price List	Paint Line	0	9	59.57	536.13	11/9/2019 0:00	DC1	604
443985	2.1	024409P6	6	Closed	EA	43.89	Hurst Price List	Paint Line	0	6	43.89	263.34	11/9/2019 0:00	DC1	604
443985	3.1	024408P6	9	Closed	EA	55.64	Hurst Price List	Paint Line	0	9	55.64	500.76	11/9/2019 0:00	DC1	604
443985	4.1	024407P10	3	Closed	EA	53.92	Hurst Price List	Paint Line	0	3	53.92	161.76	11/9/2019 0:00	DC1	604
443985	5.1	023406P4	0	Cancelled	EA	65.31	Hurst Price List	Paint Line	4		65.31	0	11/9/2019 0:00	DC1	604
443985	6.1	023404P10	2	Closed	EA	50.82	Hurst Price List	Paint Line	0	2	50.82	101.64	11/9/2019 0:00	DC1	604
443985	7.1	023409P8	1	Closed	EA	50.37	Hurst Price List	Paint Line	0	1	50.37	50.37	11/9/2019 0:00	DC1	604
443985	8.1	023408P4	3	Closed	EA	52.47	Hurst Price List	Paint Line	0	3	52.47	157.41	11/9/2019 0:00	DC1	604
443985	9.1	023405P2	6	Closed	EA	52.49	Hurst Price List	Paint Line	0	6	52.49	314.94	11/9/2019 0:00	DC1	604
443985	10.1	023408P0	3	Closed	EA	57.57	Hurst Price List	Paint Line	0	3	57.57	172.71	11/9/2019 0:00	DC1	604
443985	11.1	023607P2	4	Closed	EA	14.98	Hurst Price List	Paint Line	0	4	14.98	59.92	11/9/2019 0:00	DC1	604
443985	12.1	024409P8	8	Closed	EA	8.89	Hurst Price List	Paint Line	0	8	8.89	71.12	11/9/2019 0:00	DC1	604
443985	13.1	024204P0	4	Closed	EA	9.65	Hurst Price List	Paint Line	0	4	9.65	38.6	11/9/2019 0:00	DC1	604
443985	14.1	023606P8	4	Closed	EA	12.24	Hurst Price List	Paint Line	0	4	12.24	48.96	11/9/2019 0:00	DC1	604
443985	15.1	023809P2	16	Closed	EA	14.22	Hurst Price List	Paint Line	0	16	14.22	227.52	11/9/2019 0:00	DC1	604
443985	16.1	023405P0	4	Closed	EA	11.64	Hurst Price List	Paint Line	0	4	11.64	46.56	11/9/2019 0:00	DC1	604
443985	17.1	023610P8	12	Closed	EA	68.15	Hurst Price List	Paint Line	0	12	68.15	817.8	11/9/2019 0:00	DC1	604
443985	18.1	023408P2	4	Closed	EA	11.64	Hurst Price List	Paint Line	0	4	11.64	46.56	11/9/2019 0:00	DC1	604
443985	19.1	023408P6	4	Closed	EA	9.75	Hurst Price List	Paint Line	0	4	9.75	39	11/9/2019 0:00	DC1	604
443985	20.1	023403P8	24	Closed	EA	13.06	Hurst Price List	Paint Line	0	24	13.06	313.44	11/9/2019 0:00	DC1	604
443985	21.1	024210P8	12	Closed	EA	10.19	Hurst Price List	Paint Line	0	12	10.19	122.28	11/9/2019 0:00	DC1	604
443985	22.1	024003P10	16	Closed	EA	11.22	Hurst Price List	Paint Line	0	16	11.22	179.52	11/9/2019 0:00	DC1	604
443985	23.1	024402P6	8	Closed	EA	12.37	Hurst Price List	Paint Line	0	8	12.37	98.96	11/9/2019 0:00	DC1	604
443985	24.1	023808P6	16	Closed	EA	13.19	Hurst Price List	Paint Line	0	16	13.19	211.04	11/9/2019 0:00	DC1	604
