Order	Line	Ordered Item	Qty	Status	UOM	Unit Selling Price	Price List	Line Type	Qty Cancelled	Qty Fulfilled	List Price	Extended Price	Request Date	Warehouse	Ship To Location
437595	1.1	023604P2	3	Picked	EA	41.2	Hurst Price List	Paint Line	0		41.2	123.6	7/30/2019 0:00	DC1	611
437595	2.1	023405P2	9	Picked	EA	52.49	Hurst Price List	Paint Line	0		52.49	472.41	7/30/2019 0:00	DC1	611
437595	3.1	023402P4	3	Picked	EA	50.47	Hurst Price List	Paint Line	0		50.47	151.41	7/30/2019 0:00	DC1	611
437595	4.1	024210P10	6	Picked	EA	44.81	Hurst Price List	Paint Line	0		44.81	268.86	7/30/2019 0:00	DC1	611
437595	5.1	024407P10	6	Picked	EA	53.92	Hurst Price List	Paint Line	0		53.92	323.52	7/30/2019 0:00	DC1	611
437595	6.1	024202P4	9	Picked	EA	42.47	Hurst Price List	Paint Line	0		42.47	382.23	7/30/2019 0:00	DC1	611
437595	7.1	024004P8	6	Picked	EA	44.47	Hurst Price List	Paint Line	0		44.47	266.82	7/30/2019 0:00	DC1	611
437595	8.1	023608P4	3	Picked	EA	67.35	Hurst Price List	Paint Line	0		67.35	202.05	7/30/2019 0:00	DC1	611
437595	9.1	023401P0	12	Picked	EA	10.55	Hurst Price List	Paint Line	0		10.55	126.6	7/30/2019 0:00	DC1	611
437595	10.1	024210P8	32	Picked	EA	10.19	Hurst Price List	Paint Line	0		10.19	326.08	7/30/2019 0:00	DC1	611
437595	11.1	023408P2	4	Picked	EA	11.64	Hurst Price List	Paint Line	0		11.64	46.56	7/30/2019 0:00	DC1	611
437595	12.1	023410P6	20	Picked	EA	13.48	Hurst Price List	Paint Line	0		13.48	269.6	7/30/2019 0:00	DC1	611
437595	13.1	023403P8	8	Picked	EA	13.06	Hurst Price List	Paint Line	0		13.06	104.48	7/30/2019 0:00	DC1	611
437595	14.1	023404P4	4	Picked	EA	12.08	Hurst Price List	Paint Line	0		12.08	48.32	7/30/2019 0:00	DC1	611
437595	15.1	024604P00	12	Picked	EA	14.62	Hurst Price List	Paint Line	0		14.62	175.44	7/30/2019 0:00	DC1	611
437595	16.1	023603P10	8	Picked	EA	9.39	Hurst Price List	Paint Line	0		9.39	75.12	7/30/2019 0:00	DC1	611
437595	17.1	024202P2	8	Picked	EA	9.64	Hurst Price List	Paint Line	0		9.64	77.12	7/30/2019 0:00	DC1	611
437595	18.1	024409P2	8	Picked	EA	9.92	Hurst Price List	Paint Line	0		9.92	79.36	7/30/2019 0:00	DC1	611
437595	19.1	024407P0	12	Picked	EA	12.97	Hurst Price List	Paint Line	0		12.97	155.64	7/30/2019 0:00	DC1	611
437595	20.1	024601P00	8	Picked	EA	9.64	Hurst Price List	Paint Line	0		9.64	77.12	7/30/2019 0:00	DC1	611
437595	21.1	023608P0	12	Picked	EA	14.62	Hurst Price List	Paint Line	0		14.62	175.44	7/30/2019 0:00	DC1	611
437595	22.1	023801P8	8	Picked	EA	14.9	Hurst Price List	Paint Line	0		14.9	119.2	7/30/2019 0:00	DC1	611
437595	23.1	023610P6	48	Picked	EA	14.78	Hurst Price List	Paint Line	0		14.78	709.44	7/30/2019 0:00	DC1	611
437595	24.1	024403P4	8	Picked	EA	15.54	Hurst Price List	Paint Line	0		15.54	124.32	7/30/2019 0:00	DC1	611
437595	25.1	023805P4	4	Picked	EA	14.94	Hurst Price List	Paint Line	0		14.94	59.76	7/30/2019 0:00	DC1	611
437595	26.1	024402P0	4	Picked	EA	13.25	Hurst Price List	Paint Line	0		13.25	53	7/30/2019 0:00	DC1	611
437595	27.1	#N/A	8	Picked	EA	18.69	Hurst Price List	Sundry Line	0		18.69	149.52	7/30/2019 0:00	DC1	611
437595	28.1	#N/A	4	Picked	EA	23.02	Hurst Price List	Sundry Line	0		23.02	92.08	7/30/2019 0:00	DC1	611
437595	29.1	#N/A	18	Picked	EA	18.49	Hurst Price List	Sundry Line	0		18.49	332.82	7/30/2019 0:00	DC1	611
437595	30.1	#N/A	6	Picked	EA	8.38	Hurst Price List	Sundry Line	0		8.38	50.28	7/30/2019 0:00	DC1	611
437595	31.1	#N/A	4	Picked	EA	13.72	Hurst Price List	Sundry Line	0		13.72	54.88	7/30/2019 0:00	DC1	611
437595	32.1	#N/A	4	Picked	EA	17.8	Hurst Price List	Sundry Line	0		17.8	71.2	7/30/2019 0:00	DC1	611
437595	33.1	#N/A	4	Picked	EA	23.36	Hurst Price List	Sundry Line	0		23.36	93.44	7/30/2019 0:00	DC1	611
437595	34.1	024407P4	9	Picked	EA	46.18	Hurst Price List	Paint Line	0		46.18	415.62	7/30/2019 0:00	DC1	611
437595	35.1	024601P4	4	Picked	EA	17.2	Hurst Price List	Paint Line	0		17.2	68.8	7/30/2019 0:00	DC1	611
437595	36.1	024603P6	4	Picked	EA	16.41	Hurst Price List	Paint Line	0		16.41	65.64	7/30/2019 0:00	DC1	611
437595	37.1	024003P0	12	Picked	EA	10.01	Hurst Price List	Paint Line	0		10.01	120.12	7/30/2019 0:00	DC1	611
437595	38.1	024001P0	12	Picked	EA	11.4	Hurst Price List	Paint Line	0		11.4	136.8	7/30/2019 0:00	DC1	611
437595	39.1	023609P10	24	Picked	EA	15.53	Hurst Price List	Paint Line	0		15.53	372.72	7/30/2019 0:00	DC1	611
437595	40.1	023406P2	4	Picked	EA	14.21	Hurst Price List	Paint Line	0		14.21	56.84	7/30/2019 0:00	DC1	611
437595	41.1	023405P0	8	Picked	EA	11.64	Hurst Price List	Paint Line	0		11.64	93.12	7/30/2019 0:00	DC1	611
437595	42.1	024006P10	4	Picked	EA	9.57	Hurst Price List	Paint Line	0		9.57	38.28	7/30/2019 0:00	DC1	611
437595	43.1	024001P10	4	Picked	EA	14.63	Hurst Price List	Paint Line	0		14.63	58.52	7/30/2019 0:00	DC1	611
437595	44.1	024401P4	8	Picked	EA	15.93	Hurst Price List	Paint Line	0		15.93	127.44	7/30/2019 0:00	DC1	611
437595	45.1	#N/A	4	Picked	EA	20.97	Hurst Price List	Sundry Line	0		20.97	83.88	7/30/2019 0:00	DC1	611
437595	46.1	023405P4	20	Picked	EA	11.24	Hurst Price List	Paint Line	0		11.24	224.8	7/30/2019 0:00	DC1	611
437595	47.1	#N/A	9	Picked	EA	4.9	Hurst Price List	Paint Line	0		4.9	44.1	7/30/2019 0:00	DC1	611
437595	48.1	#N/A	9	Picked	EA	5.78	Hurst Price List	Sundry Line	0		5.78	52.02	7/30/2019 0:00	DC1	611
437595	49.1	023808P6	24	Picked	EA	13.19	Hurst Price List	Paint Line	0		13.19	316.56	7/30/2019 0:00	DC1	611
437595	50.1	023808P10	9	Picked	EA	60.22	Hurst Price List	Paint Line	0		60.22	541.98	7/30/2019 0:00	DC1	611
437595	51.1	023401P6	6	Picked	EA	46.71	Hurst Price List	Paint Line	0		46.71	280.26	7/30/2019 0:00	DC1	611
437595	52.1	#N/A	3	Picked	EA	57.05	Hurst Price List	Sundry Line	0		57.05	171.15	7/30/2019 0:00	DC1	611
437595	53.1	024010P6	3	Picked	EA	44.55	Hurst Price List	Paint Line	0		44.55	133.65	7/30/2019 0:00	DC1	611
437594	1.1	024009P10	36	Picked	EA	2.97	Hurst Price List	Paint Line	0		2.97	106.92	7/30/2019 0:00	DC1	620
437594	2.1	024004P2	9	Picked	EA	50.35	Hurst Price List	Paint Line	0		50.35	453.15	7/30/2019 0:00	DC1	620
437594	3.1	#N/A	14	Picked	EA	21.69	Hurst Price List	Sundry Line	0		21.69	303.66	7/30/2019 0:00	DC1	620
437594	4.1	#N/A	1	Picked	EA	106.96	Hurst Price List	Sundry Line	0		106.96	106.96	7/30/2019 0:00	DC1	620
437594	5.1	023808P6	8	Picked	EA	13.19	Hurst Price List	Paint Line	0		13.19	105.52	7/30/2019 0:00	DC1	620
