Order	Line	Ordered Item	Qty	Status	UOM	Unit Selling Price	Price List	Line Type	Qty Cancelled	Qty Fulfilled	List Price	Extended Price	Request Date	Warehouse	Ship To Location
440099	1.1	024410P8	3	Picked	EA	55.7	Hurst Price List	Paint Line	0		55.7	167.1	9/8/2019 0:00	DC1	820
440099	2.1	023609P0	3	Picked	EA	69.17	Hurst Price List	Paint Line	0		69.17	207.51	9/8/2019 0:00	DC1	820
440099	3.1	#N/A	4	Picked	EA	17.2	Hurst Price List	Sundry Line	0		17.2	68.8	9/8/2019 0:00	DC1	820
440099	4.1	#N/A	4	Picked	EA	30.46	Hurst Price List	Sundry Line	0		30.46	121.84	9/8/2019 0:00	DC1	820
440099	5.1	023808P6	12	Picked	EA	13.19	Hurst Price List	Paint Line	0		13.19	158.28	9/8/2019 0:00	DC1	820
440099	6.1	023610P0	16	Picked	EA	15.37	Hurst Price List	Paint Line	0		15.37	245.92	9/8/2019 0:00	DC1	820
440099	7.1	024409P2	8	Picked	EA	9.92	Hurst Price List	Paint Line	0		9.92	79.36	9/8/2019 0:00	DC1	820
440099	8.1	024601P00	8	Picked	EA	9.64	Hurst Price List	Paint Line	0		9.64	77.12	9/8/2019 0:00	DC1	820
440099	9.1	023803P6	12	Picked	EA	14.95	Hurst Price List	Paint Line	0		14.95	179.4	9/8/2019 0:00	DC1	820
440099	10.1	024003P10	12	Picked	EA	11.22	Hurst Price List	Paint Line	0		11.22	134.64	9/8/2019 0:00	DC1	820
440099	11.1	023809P2	12	Picked	EA	14.22	Hurst Price List	Paint Line	0		14.22	170.64	9/8/2019 0:00	DC1	820
440099	12.1	024407P4	6	Picked	EA	46.18	Hurst Price List	Paint Line	0		46.18	277.08	9/8/2019 0:00	DC1	820
440099	13.1	024002P2	8	Picked	EA	14.72	Hurst Price List	Paint Line	0		14.72	117.76	9/8/2019 0:00	DC1	820
440099	14.1	024003P0	8	Picked	EA	10.01	Hurst Price List	Paint Line	0		10.01	80.08	9/8/2019 0:00	DC1	820
440099	15.1	024601P0	4	Picked	EA	8.26	Hurst Price List	Paint Line	0		8.26	33.04	9/8/2019 0:00	DC1	820
440099	16.1	#N/A	8	Picked	EA	21.69	Hurst Price List	Sundry Line	0		21.69	173.52	9/8/2019 0:00	DC1	820
440099	17.1	023806P8	4	Picked	EA	15.17	Hurst Price List	Paint Line	0		15.17	60.68	9/8/2019 0:00	DC1	820
440099	18.1	024402P6	4	Picked	EA	12.37	Hurst Price List	Paint Line	0		12.37	49.48	9/8/2019 0:00	DC1	820
440099	19.1	024408P0	8	Picked	EA	11.93	Hurst Price List	Paint Line	0		11.93	95.44	9/8/2019 0:00	DC1	820
440099	20.1	024204P0	4	Picked	EA	9.65	Hurst Price List	Paint Line	0		9.65	38.6	9/8/2019 0:00	DC1	820
440099	21.1	023607P2	4	Picked	EA	14.98	Hurst Price List	Paint Line	0		14.98	59.92	9/8/2019 0:00	DC1	820
440099	22.1	023605P10	4	Picked	EA	12.83	Hurst Price List	Paint Line	0		12.83	51.32	9/8/2019 0:00	DC1	820
440099	23.1	023608P10	8	Picked	EA	15.46	Hurst Price List	Paint Line	0		15.46	123.68	9/8/2019 0:00	DC1	820
440099	24.1	023602P6	4	Picked	EA	13.12	Hurst Price List	Paint Line	0		13.12	52.48	9/8/2019 0:00	DC1	820
440099	25.1	024403P0	9	Picked	EA	4.34	Hurst Price List	Paint Line	0		4.34	39.06	9/8/2019 0:00	DC1	820
440099	26.1	024402P8	9	Picked	EA	3.63	Hurst Price List	Paint Line	0		3.63	32.67	9/8/2019 0:00	DC1	820
440099	27.1	023805P0	9	Picked	EA	3.73	Hurst Price List	Paint Line	0		3.73	33.57	9/8/2019 0:00	DC1	820
440099	28.1	024009P4	18	Picked	EA	3.87	Hurst Price List	Paint Line	0		3.87	69.66	9/8/2019 0:00	DC1	820
440099	29.1	024009P10	9	Picked	EA	2.97	Hurst Price List	Paint Line	0		2.97	26.73	9/8/2019 0:00	DC1	820
440099	30.1	#N/A	9	Picked	EA	4.72	Hurst Price List	Sundry Line	0		4.72	42.48	9/8/2019 0:00	DC1	820
440099	31.1	#N/A	6	Picked	EA	11.29	Hurst Price List	Sundry Line	0		11.29	67.74	9/8/2019 0:00	DC1	820
440099	32.1	#N/A	6	Picked	EA	5.68	Hurst Price List	Sundry Line	0		5.68	34.08	9/8/2019 0:00	DC1	820
440099	33.1	#N/A	6	Picked	EA	7.2	Hurst Price List	Sundry Line	0		7.2	43.2	9/8/2019 0:00	DC1	820
440099	34.1	023610P4	3	Picked	EA	71.87	Hurst Price List	Paint Line	0		71.87	215.61	9/8/2019 0:00	DC1	820
440099	35.1	024601P2	6	Picked	EA	35.55	Hurst Price List	Paint Line	0		35.55	213.3	9/8/2019 0:00	DC1	820
440099	36.1	023808P10	6	Picked	EA	60.22	Hurst Price List	Paint Line	0		60.22	361.32	9/8/2019 0:00	DC1	820
440099	37.1	023605P2	1	Picked	EA	58.42	Hurst Price List	Paint Line	0		58.42	58.42	9/8/2019 0:00	DC1	820
440099	38.1	024202P8	0	Cancelled	EA	55.45	Hurst Price List	Paint Line	1		55.45	0	9/8/2019 0:00	DC1	820
440099	39.1	024406P10	12	Picked	EA	59.11	Hurst Price List	Paint Line	0		59.11	709.32	9/8/2019 0:00	DC1	820
440097	1.1	024210P10	20	Picked	EA	44.81	Hurst Price List	Paint Line	0		44.81	896.2	9/8/2019 0:00	DC1	216
440097	2.1	024008P8	4	Picked	EA	13.67	Hurst Price List	Paint Line	0		13.67	54.68	9/8/2019 0:00	DC1	216
440097	3.1	023601P8	4	Picked	EA	50.18	Hurst Price List	Paint Line	0		50.18	200.72	9/8/2019 0:00	DC1	216
440097	4.1	023810P8	8	Picked	EA	12.4	Hurst Price List	Paint Line	0		12.4	99.2	9/8/2019 0:00	DC1	216
440097	5.1	#N/A	8	Picked	EA	20.97	Hurst Price List	Sundry Line	0		20.97	167.76	9/8/2019 0:00	DC1	216
440097	6.1	023410P6	24	Picked	EA	13.48	Hurst Price List	Paint Line	0		13.48	323.52	9/8/2019 0:00	DC1	216
440097	7.1	023803P2	12	Picked	EA	15.13	Hurst Price List	Paint Line	0		15.13	181.56	9/8/2019 0:00	DC1	216
440097	8.1	023607P2	24	Picked	EA	14.98	Hurst Price List	Paint Line	0		14.98	359.52	9/8/2019 0:00	DC1	216
440097	9.1	024407P0	24	Picked	EA	12.97	Hurst Price List	Paint Line	0		12.97	311.28	9/8/2019 0:00	DC1	216
440097	10.1	024010P10	4	Picked	EA	11.15	Hurst Price List	Paint Line	0		11.15	44.6	9/8/2019 0:00	DC1	216
440097	11.1	024601P0	4	Picked	EA	8.26	Hurst Price List	Paint Line	0		8.26	33.04	9/8/2019 0:00	DC1	216
440097	12.1	023408P0	6	Picked	EA	57.57	Hurst Price List	Paint Line	0		57.57	345.42	9/8/2019 0:00	DC1	216
440097	13.1	023407P0	6	Picked	EA	58.53	Hurst Price List	Paint Line	0		58.53	351.18	9/8/2019 0:00	DC1	216
440097	14.1	024009P4	54	Picked	EA	3.87	Hurst Price List	Paint Line	0		3.87	208.98	9/8/2019 0:00	DC1	216
440097	15.1	023401P6	6	Picked	EA	46.71	Hurst Price List	Paint Line	0		46.71	280.26	9/8/2019 0:00	DC1	216
440097	16.1	023410P2	4	Picked	EA	13.55	Hurst Price List	Paint Line	0		13.55	54.2	9/8/2019 0:00	DC1	216
440097	17.1	023603P10	4	Picked	EA	9.39	Hurst Price List	Paint Line	0		9.39	37.56	9/8/2019 0:00	DC1	216
440097	18.1	024604P00	8	Picked	EA	14.62	Hurst Price List	Paint Line	0		14.62	116.96	9/8/2019 0:00	DC1	216
440097	19.1	024409P6	8	Picked	EA	43.89	Hurst Price List	Paint Line	0		43.89	351.12	9/8/2019 0:00	DC1	216
440097	20.1	023606P2	3	Picked	EA	58.42	Hurst Price List	Paint Line	0		58.42	175.26	9/8/2019 0:00	DC1	216
440097	21.1	024203P10	4	Picked	EA	10.61	Hurst Price List	Paint Line	0		10.61	42.44	9/8/2019 0:00	DC1	216
440097	22.1	024201P8	6	Picked	EA	51.44	Hurst Price List	Paint Line	0		51.44	308.64	9/8/2019 0:00	DC1	216
440097	23.1	024008P10	24	Picked	EA	62.63	Hurst Price List	Paint Line	0		62.63	1,503.12	9/8/2019 0:00	DC1	216
