Order	Line	Ordered Item	Qty	Status	UOM	Unit Selling Price	Price List	Line Type	Qty Cancelled	Qty Fulfilled	List Price	Extended Price	Request Date	Warehouse	Ship To Location
437133	1.1	023405P0	4	Picked	EA	11.64	Hurst Price List	Paint Line	0		11.64	46.56	7/23/2019 0:00	DC1	905
437133	2.1	024210P8	16	Picked	EA	10.19	Hurst Price List	Paint Line	0		10.19	163.04	7/23/2019 0:00	DC1	905
437133	3.1	023407P10	16	Picked	EA	12.66	Hurst Price List	Paint Line	0		12.66	202.56	7/23/2019 0:00	DC1	905
437133	4.1	023403P8	16	Picked	EA	13.06	Hurst Price List	Paint Line	0		13.06	208.96	7/23/2019 0:00	DC1	905
437133	5.1	023809P2	16	Picked	EA	14.22	Hurst Price List	Paint Line	0		14.22	227.52	7/23/2019 0:00	DC1	905
437133	6.1	023605P10	4	Picked	EA	12.83	Hurst Price List	Paint Line	0		12.83	51.32	7/23/2019 0:00	DC1	905
437133	7.1	024410P4	4	Picked	EA	12.29	Hurst Price List	Paint Line	0		12.29	49.16	7/23/2019 0:00	DC1	905
437133	8.1	024408P8	4	Picked	EA	11.44	Hurst Price List	Paint Line	0		11.44	45.76	7/23/2019 0:00	DC1	905
437133	9.1	024604P00	4	Picked	EA	14.62	Hurst Price List	Paint Line	0		14.62	58.48	7/23/2019 0:00	DC1	905
437133	10.1	023803P0	9	Picked	EA	3.94	Hurst Price List	Paint Line	0		3.94	35.46	7/23/2019 0:00	DC1	905
437133	11.1	024407P4	8	Picked	EA	46.18	Hurst Price List	Paint Line	0		46.18	369.44	7/23/2019 0:00	DC1	905
437133	12.1	024406P10	12	Picked	EA	59.11	Hurst Price List	Paint Line	0		59.11	709.32	7/23/2019 0:00	DC1	905
437133	13.1	024410P8	4	Picked	EA	55.7	Hurst Price List	Paint Line	0		55.7	222.8	7/23/2019 0:00	DC1	905
437133	14.1	023408P0	4	Picked	EA	57.57	Hurst Price List	Paint Line	0		57.57	230.28	7/23/2019 0:00	DC1	905
437133	15.1	024407P10	4	Picked	EA	53.92	Hurst Price List	Paint Line	0		53.92	215.68	7/23/2019 0:00	DC1	905
437133	16.1	024403P4	8	Picked	EA	15.54	Hurst Price List	Paint Line	0		15.54	124.32	7/23/2019 0:00	DC1	905
437133	17.1	024403P6	8	Picked	EA	71.95	Hurst Price List	Paint Line	0		71.95	575.6	7/23/2019 0:00	DC1	905
437133	18.1	023810P2	8	Picked	EA	14.79	Hurst Price List	Paint Line	0		14.79	118.32	7/23/2019 0:00	DC1	905
437133	19.1	023610P6	8	Picked	EA	14.78	Hurst Price List	Paint Line	0		14.78	118.24	7/23/2019 0:00	DC1	905
437133	20.1	024001P4	4	Picked	EA	11.37	Hurst Price List	Paint Line	0		11.37	45.48	7/23/2019 0:00	DC1	905
437133	21.1	024204P0	4	Picked	EA	9.65	Hurst Price List	Paint Line	0		9.65	38.6	7/23/2019 0:00	DC1	905
437124	1.1	023402P2	6	Picked	EA	47.46	Hurst Price List	Paint Line	0		47.46	284.76	7/23/2019 0:00	DC1	611
437124	2.1	#N/A	6	Picked	EA	75.77	Hurst Price List	Paint Line	0		75.77	454.62	7/23/2019 0:00	DC1	611
437124	3.1	#N/A	27	Picked	EA	4.9	Hurst Price List	Paint Line	0		4.9	132.3	7/23/2019 0:00	DC1	611
437124	4.1	023808P10	18	Picked	EA	60.22	Hurst Price List	Paint Line	0		60.22	1,083.96	7/23/2019 0:00	DC1	611
437124	5.1	024001P4	40	Picked	EA	11.37	Hurst Price List	Paint Line	0		11.37	454.8	7/23/2019 0:00	DC1	611
437124	6.1	#N/A	4	Picked	EA	8.51	Hurst Price List	Sundry Line	0		8.51	34.04	7/23/2019 0:00	DC1	611
437124	7.1	023405P0	4	Picked	EA	11.64	Hurst Price List	Paint Line	0		11.64	46.56	7/23/2019 0:00	DC1	611
437124	8.1	024201P6	4	Picked	EA	11.43	Hurst Price List	Paint Line	0		11.43	45.72	7/23/2019 0:00	DC1	611
437124	9.1	024006P2	4	Picked	EA	14.19	Hurst Price List	Paint Line	0		14.19	56.76	7/23/2019 0:00	DC1	611
437124	10.1	024401P0	4	Picked	EA	18.06	Hurst Price List	Paint Line	0		18.06	72.24	7/23/2019 0:00	DC1	611
