Order	Line	Ordered Item	Qty	Status	UOM	Unit Selling Price	Price List	Line Type	Qty Cancelled	Qty Fulfilled	List Price	Extended Price	Request Date	Warehouse	Ship To Location
442506	1.1	024407P8	36	Picked	EA	50.76	Hurst Price List	Paint Line	0		50.76	1,827.36	10/16/2019 0:00	DC1	812
442506	2.1	024406P10	36	Picked	EA	59.11	Hurst Price List	Paint Line	0		59.11	2,127.96	10/16/2019 0:00	DC1	812
442506	3.1	023405P2	36	Picked	EA	52.49	Hurst Price List	Paint Line	0		52.49	1,889.64	10/16/2019 0:00	DC1	812
442506	4.1	023403P10	36	Picked	EA	59.57	Hurst Price List	Paint Line	0		59.57	2,144.52	10/16/2019 0:00	DC1	812
442506	5.1	024210P10	36	Picked	EA	44.81	Hurst Price List	Paint Line	0		44.81	1,613.16	10/16/2019 0:00	DC1	812
442506	6.1	023807P4	8	Picked	EA	11.28	Hurst Price List	Paint Line	0		11.28	90.24	10/16/2019 0:00	DC1	812
442506	7.1	#N/A	8	Picked	EA	30.46	Hurst Price List	Sundry Line	0		30.46	243.68	10/16/2019 0:00	DC1	812
442506	8.1	#N/A	8	Picked	EA	30.46	Hurst Price List	Sundry Line	0		30.46	243.68	10/16/2019 0:00	DC1	812
442506	9.1	#N/A	8	Picked	EA	30.46	Hurst Price List	Sundry Line	0		30.46	243.68	10/16/2019 0:00	DC1	812
442506	10.1	#N/A	4	Picked	EA	10.94	Hurst Price List	Sundry Line	0		10.94	43.76	10/16/2019 0:00	DC1	812
442506	11.1	#N/A	4	Picked	EA	10.94	Hurst Price List	Sundry Line	0		10.94	43.76	10/16/2019 0:00	DC1	812
442506	12.1	#N/A	4	Picked	EA	10.94	Hurst Price List	Sundry Line	0		10.94	43.76	10/16/2019 0:00	DC1	812
442506	13.1	023808P10	72	Picked	EA	60.22	Hurst Price List	Paint Line	0		60.22	4,335.84	10/16/2019 0:00	DC1	812
442456	1.1	#N/A	12	Picked	EA	5.68	Hurst Price List	Sundry Line	0		5.68	68.16	10/16/2019 0:00	DC1	216
442456	2.1	024407P6	16	Picked	EA	11.3	Hurst Price List	Paint Line	0		11.3	180.8	10/16/2019 0:00	DC1	216
442456	3.1	024210P8	24	Picked	EA	10.19	Hurst Price List	Paint Line	0		10.19	244.56	10/16/2019 0:00	DC1	216
442456	4.1	023610P6	16	Picked	EA	14.78	Hurst Price List	Paint Line	0		14.78	236.48	10/16/2019 0:00	DC1	216
442456	5.1	024603P8	12	Picked	EA	15.22	Hurst Price List	Paint Line	0		15.22	182.64	10/16/2019 0:00	DC1	216
442456	6.1	024403P10	4	Picked	EA	9.96	Hurst Price List	Paint Line	0		9.96	39.84	10/16/2019 0:00	DC1	216
442456	7.1	024202P6	4	Picked	EA	12.24	Hurst Price List	Paint Line	0		12.24	48.96	10/16/2019 0:00	DC1	216
442456	8.1	023403P10	1	Picked	EA	59.57	Hurst Price List	Paint Line	0		59.57	59.57	10/16/2019 0:00	DC1	216
442456	9.1	024008P8	8	Picked	EA	13.67	Hurst Price List	Paint Line	0		13.67	109.36	10/16/2019 0:00	DC1	216
442456	10.1	023408P4	8	Picked	EA	52.47	Hurst Price List	Paint Line	0		52.47	419.76	10/16/2019 0:00	DC1	216
442456	11.1	024201P8	4	Picked	EA	51.44	Hurst Price List	Paint Line	0		51.44	205.76	10/16/2019 0:00	DC1	216
442456	12.1	#N/A	12	Picked	EA	8.38	Hurst Price List	Sundry Line	0		8.38	100.56	10/16/2019 0:00	DC1	216
442456	13.1	#N/A	2	Picked	EA	30.46	Hurst Price List	Sundry Line	0		30.46	60.92	10/16/2019 0:00	DC1	216
442456	14.1	#N/A	6	Picked	EA	7.19	Hurst Price List	Sundry Line	0		7.19	43.14	10/16/2019 0:00	DC1	216
442456	15.1	#N/A	6	Picked	EA	7.2	Hurst Price List	Sundry Line	0		7.2	43.2	10/16/2019 0:00	DC1	216
442456	16.1	#N/A	18	Picked	EA	11.29	Hurst Price List	Sundry Line	0		11.29	203.22	10/16/2019 0:00	DC1	216
442456	17.1	023604P10	16	Picked	EA	45.57	Hurst Price List	Paint Line	0		45.57	729.12	10/16/2019 0:00	DC1	216
442456	18.1	024410P4	8	Picked	EA	12.29	Hurst Price List	Paint Line	0		12.29	98.32	10/16/2019 0:00	DC1	216
442456	19.1	024407P2	8	Picked	EA	10.38	Hurst Price List	Paint Line	0		10.38	83.04	10/16/2019 0:00	DC1	216
442455	1.1	023405P0	20	Closed	EA	11.64	Hurst Price List	Paint Line	0	20	11.64	232.8	10/16/2019 0:00	DC1	235
442455	2.1	023610P6	12	Closed	EA	14.78	Hurst Price List	Paint Line	0	12	14.78	177.36	10/16/2019 0:00	DC1	235
442455	3.1	024003P10	8	Closed	EA	11.22	Hurst Price List	Paint Line	0	8	11.22	89.76	10/16/2019 0:00	DC1	235
442455	4.1	023602P6	12	Closed	EA	13.12	Hurst Price List	Paint Line	0	12	13.12	157.44	10/16/2019 0:00	DC1	235
442455	5.1	023610P0	12	Closed	EA	15.37	Hurst Price List	Paint Line	0	12	15.37	184.44	10/16/2019 0:00	DC1	235
442455	6.1	023809P2	8	Closed	EA	14.22	Hurst Price List	Paint Line	0	8	14.22	113.76	10/16/2019 0:00	DC1	235
442455	7.1	023803P2	8	Closed	EA	15.13	Hurst Price List	Paint Line	0	8	15.13	121.04	10/16/2019 0:00	DC1	235
442455	8.1	023803P6	8	Closed	EA	14.95	Hurst Price List	Paint Line	0	8	14.95	119.6	10/16/2019 0:00	DC1	235
442455	9.1	024210P8	12	Closed	EA	10.19	Hurst Price List	Paint Line	0	12	10.19	122.28	10/16/2019 0:00	DC1	235
442455	10.1	024403P10	4	Closed	EA	9.96	Hurst Price List	Paint Line	0	4	9.96	39.84	10/16/2019 0:00	DC1	235
442455	11.1	024404P6	4	Closed	EA	10.89	Hurst Price List	Paint Line	0	4	10.89	43.56	10/16/2019 0:00	DC1	235
442455	12.1	023408P10	8	Closed	EA	10.71	Hurst Price List	Paint Line	0	8	10.71	85.68	10/16/2019 0:00	DC1	235
442455	13.1	024407P0	12	Closed	EA	12.97	Hurst Price List	Paint Line	0	12	12.97	155.64	10/16/2019 0:00	DC1	235
442455	14.1	024403P4	8	Closed	EA	15.54	Hurst Price List	Paint Line	0	8	15.54	124.32	10/16/2019 0:00	DC1	235
442455	15.1	024601P00	12	Closed	EA	9.64	Hurst Price List	Paint Line	0	12	9.64	115.68	10/16/2019 0:00	DC1	235
442455	16.1	024204P0	4	Closed	EA	9.65	Hurst Price List	Paint Line	0	4	9.65	38.6	10/16/2019 0:00	DC1	235
442455	17.1	023408P6	8	Closed	EA	9.75	Hurst Price List	Paint Line	0	8	9.75	78	10/16/2019 0:00	DC1	235
442455	18.1	024201P6	12	Closed	EA	11.43	Hurst Price List	Paint Line	0	12	11.43	137.16	10/16/2019 0:00	DC1	235
442455	19.1	024406P10	3	Closed	EA	59.11	Hurst Price List	Paint Line	0	3	59.11	177.33	10/16/2019 0:00	DC1	235
442455	20.1	024407P8	3	Closed	EA	50.76	Hurst Price List	Paint Line	0	3	50.76	152.28	10/16/2019 0:00	DC1	235
442455	21.1	023401P6	3	Closed	EA	46.71	Hurst Price List	Paint Line	0	3	46.71	140.13	10/16/2019 0:00	DC1	235
442455	22.1	024601P4	4	Closed	EA	17.2	Hurst Price List	Paint Line	0	4	17.2	68.8	10/16/2019 0:00	DC1	235
442455	23.1	024008P10	3	Closed	EA	62.63	Hurst Price List	Paint Line	0	3	62.63	187.89	10/16/2019 0:00	DC1	235
442455	24.1	024608P2	0	Cancelled	EA	17.92	Hurst Price List	Paint Line	8		17.92	0	10/16/2019 0:00	DC1	235
442455	25.1	024201P8	9	Closed	EA	51.44	Hurst Price List	Paint Line	0	9	51.44	462.96	10/16/2019 0:00	DC1	235
442455	26.1	023410P10	4	Closed	EA	13.18	Hurst Price List	Paint Line	0	4	13.18	52.72	10/16/2019 0:00	DC1	235
442455	27.1	023601P2	4	Closed	EA	13.23	Hurst Price List	Paint Line	0	4	13.23	52.92	10/16/2019 0:00	DC1	235
442455	28.1	024004P6	9	Closed	EA	3.05	Hurst Price List	Paint Line	0	9	3.05	27.45	10/16/2019 0:00	DC1	235
442455	29.1	024009P4	18	Closed	EA	3.87	Hurst Price List	Paint Line	0	18	3.87	69.66	10/16/2019 0:00	DC1	235
442455	30.1	024009P6	9	Closed	EA	3.74	Hurst Price List	Paint Line	0	9	3.74	33.66	10/16/2019 0:00	DC1	235
442455	31.1	024009P8	9	Closed	EA	3.16	Hurst Price List	Paint Line	0	9	3.16	28.44	10/16/2019 0:00	DC1	235
442455	32.1	024009P10	9	Closed	EA	2.97	Hurst Price List	Paint Line	0	9	2.97	26.73	10/16/2019 0:00	DC1	235
442455	33.1	024005P8	4	Closed	EA	9.96	Hurst Price List	Paint Line	0	4	9.96	39.84	10/16/2019 0:00	DC1	235
442455	34.1	024407P10	12	Closed	EA	53.92	Hurst Price List	Paint Line	0	12	53.92	647.04	10/16/2019 0:00	DC1	235
442455	35.1	023810P2	4	Closed	EA	14.79	Hurst Price List	Paint Line	0	4	14.79	59.16	10/16/2019 0:00	DC1	235
442455	36.1	023409P2	4	Closed	EA	11.99	Hurst Price List	Paint Line	0	4	11.99	47.96	10/16/2019 0:00	DC1	235
442455	37.1	024602P4	4	Closed	EA	17.29	Hurst Price List	Paint Line	0	4	17.29	69.16	10/16/2019 0:00	DC1	235
442455	38.1	024407P2	8	Closed	EA	10.38	Hurst Price List	Paint Line	0	8	10.38	83.04	10/16/2019 0:00	DC1	235
442455	39.1	024410P4	8	Closed	EA	12.29	Hurst Price List	Paint Line	0	8	12.29	98.32	10/16/2019 0:00	DC1	235
442455	40.1	024407P4	12	Closed	EA	46.18	Hurst Price List	Paint Line	0	12	46.18	554.16	10/16/2019 0:00	DC1	235
442455	41.1	024607P6	0	Cancelled	EA	11.31	Hurst Price List	Paint Line	8		11.31	0	10/16/2019 0:00	DC1	235
442455	42.1	023808P6	20	Closed	EA	13.19	Hurst Price List	Paint Line	0	20	13.19	263.8	10/16/2019 0:00	DC1	235
442455	43.1	024205P8	18	Closed	EA	38.31	Hurst Price List	Paint Line	0	18	38.31	689.58	10/16/2019 0:00	DC1	235
442455	44.1	023403P8	12	Closed	EA	13.06	Hurst Price List	Paint Line	0	12	13.06	156.72	10/16/2019 0:00	DC1	235
442454	1.1	023809P4	8	Picked	EA	65.38	Hurst Price List	Paint Line	0		65.38	523.04	10/16/2019 0:00	DC1	315
442454	2.1	023803P10	2	Picked	EA	69.04	Hurst Price List	Paint Line	0		69.04	138.08	10/16/2019 0:00	DC1	315
442454	3.1	024009P4	9	Picked	EA	3.87	Hurst Price List	Paint Line	0		3.87	34.83	10/16/2019 0:00	DC1	315
442454	4.1	024009P6	9	Picked	EA	3.74	Hurst Price List	Paint Line	0		3.74	33.66	10/16/2019 0:00	DC1	315
442454	5.1	024009P8	9	Picked	EA	3.16	Hurst Price List	Paint Line	0		3.16	28.44	10/16/2019 0:00	DC1	315
442454	6.1	024009P10	9	Picked	EA	2.97	Hurst Price List	Paint Line	0		2.97	26.73	10/16/2019 0:00	DC1	315
442454	7.1	023407P10	8	Picked	EA	12.66	Hurst Price List	Paint Line	0		12.66	101.28	10/16/2019 0:00	DC1	315
442454	8.1	023408P2	4	Picked	EA	11.64	Hurst Price List	Paint Line	0		11.64	46.56	10/16/2019 0:00	DC1	315
442454	9.1	024201P6	8	Picked	EA	11.43	Hurst Price List	Paint Line	0		11.43	91.44	10/16/2019 0:00	DC1	315
442454	10.1	023803P6	8	Picked	EA	14.95	Hurst Price List	Paint Line	0		14.95	119.6	10/16/2019 0:00	DC1	315
442454	11.1	024009P2	8	Picked	EA	58.31	Hurst Price List	Paint Line	0		58.31	466.48	10/16/2019 0:00	DC1	315
442454	12.1	023808P6	12	Picked	EA	13.19	Hurst Price List	Paint Line	0		13.19	158.28	10/16/2019 0:00	DC1	315
442454	13.1	024007P8	8	Picked	EA	15.22	Hurst Price List	Paint Line	0		15.22	121.76	10/16/2019 0:00	DC1	315
442454	14.1	#N/A	2	Picked	EA	25.12	Hurst Price List	Sundry Line	0		25.12	50.24	10/16/2019 0:00	DC1	315
